Species,Sample,Chla,Chlb,Chlc,Chld,AFDW,cal.width,con.width,ratio,tissue,primary.septa,secondary.septa,complexity,Bulk density,Porosity,Micro-density
Porites cylindrica,1,19.76035068,4.684526627,4.189919527,4.984805828,149.0422933,0.684,0.322666667,2.119834711,2.053,9,9,27,1.326429013,51.30799814,2.724120929
Porites cylindrica,2,37.44703608,16.11198713,14.00401197,12.91614791,246.9715677,0.7945,0.240333333,3.305825243,2.882,12,12,36,1.220782134,56.24221388,2.789862657
Porites cylindrica,3,69.45997936,11.49961828,8.375181589,13.66774945,249.9984278,0.6425,0.1925,3.337662338,3.569,11,1,23,1.181586688,57.36411357,2.771343079
Porites cylindrica,4,22.259428,8.611576591,5.153765054,5.768609358,176.8593335,0.774166667,0.229,3.380640466,2.96,11,11,33,1.349912665,37.66235008,2.165485332
Porites cylindrica,5,19.51587453,6.267378472,2.692086157,3.737226773,71.57616998,0.903333333,0.282,3.203309693,3.899,11,11,33,1.242954895,53.96469878,2.700003827
Porites cylindrica,6,21.8801532,5.426992561,2.328360572,3.82513507,35.84907857,0.785833333,0.289333333,2.716013825,3.103,10,10,30,1.022863929,62.75433394,2.746262954
Porites cylindrica,7,30.9163097,5.355886501,2.273048063,4.57414451,57.08994018,0.7715,0.241166667,3.199032481,2.75,11,11,33,1.283214266,53.38656267,2.752884876
Porites cylindrica,8,44.01010241,17.56958168,15.7916094,16.92169605,149.4330738,0.737166667,0.305,2.416939891,2.39,11,1,23,1.140239163,58.97264832,2.779217075
Porites cylindrica,9,25.953479,11.05521247,8.033064892,8.192744854,51.5076767,0.801,0.256666667,3.120779221,4.162,10,2,22,1.208794908,54.95324696,2.683422947
Porites cylindrica,10,21.06478123,9.054135079,6.940916324,6.189272742,43.51519675,0.8355,0.33,2.531818182,2.397,9,9,27,1.215523791,53.68646878,2.624554334
Goniastrea retiformis,1,32.03608764,14.1454893,4.899018661,7.664795648,36.03115795,2.076,1.0765,1.9284719,2.096,12,12,36,1.435491988,47.95604522,2.758230028
Goniastrea retiformis,2,47.41687431,9.223132566,0,2.631858423,85.15986939,2.388666667,0.563,4.242747188,2.273,14,14,42,1.723557471,36.63413304,2.720009295
Goniastrea retiformis,3,55.30476204,16.30992341,0,7.221482458,89.8457241,2.485333333,0.738833333,3.363861945,1.544,14,15,43,1.51364706,42.29742507,2.623188067
Goniastrea retiformis,4,46.74267051,11.91396961,0,1.038592634,50.19472653,2.229166667,0.864,2.580054012,1.426,15,18,48,1.718280977,34.69802378,2.631284803
Goniastrea retiformis,5,31.75569906,8.926422426,0,3.150464773,93.31447324,2.390833333,0.693,3.44997595,1.146,13,14,40,1.716565125,35.75049868,2.67171743
Goniastrea retiformis,6,63.67278747,9.579357055,0,1.974134285,119.7390678,2.836166667,0.5545,5.114818154,1.042,15,19,49,1.652364669,40.11609626,2.759280151
Goniastrea retiformis,7,93.96956769,35.00148922,0,12.06382769,87.82948853,2.721166667,0.8255,3.296386029,2.101,15,14,44,1.747492836,32.7676461,2.599184373
Goniastrea retiformis,8,117.2494742,28.44335865,0,8.629429481,141.0864274,3.0065,1.175833333,2.556909993,2.308,11,13,35,1.624462171,38.41189013,2.637623032
Goniastrea retiformis,9,32.68971416,8.883160526,0,2.009545518,62.58600423,2.793166667,0.6925,4.03345367,1.896,14,20,48,1.654298581,38.91203873,2.708059896
Goniastrea retiformis,10,51.65282669,10.5589994,0,3.634717782,81.51798751,3.277166667,1.116,2.936529271,1.542,13,22,48,1.577597025,40.16307849,2.6364943
Isopora palifera,1,3.751355805,1.076084251,0.738506095,1.024675448,13.90901765,0.898333333,1.429,0.62864474,2.385,7,7,21,1.840126797,33.9969824,2.787943436
Isopora palifera,2,3.441648036,1.228010367,0.64888516,0.542062487,22.46850912,0.8515,1.5165,0.561490274,4.652,6,6,18,1.763562606,36.98745799,2.79874855
Isopora palifera,3,1.116945276,0.70224911,1.384639413,1.09171127,30.68147115,0.845166667,1.285166667,0.657631954,2.894,5,5,15,1.929568558,30.91602792,2.793077034
Isopora palifera,4,2.674034035,1.147309585,1.295904991,0.874583441,28.2305834,0.599666667,1.910833333,0.313824684,2.067,6,6,18,1.818809255,34.35315665,2.770596669
Isopora palifera,5,5.28203737,3.199501995,1.381624394,1.877313377,27.56649978,0.653666667,1.284166667,0.509020117,2.751,5,5,15,1.89456579,30.80897661,2.73816703
Isopora palifera,6,9.862249004,3.320849098,0,1.232372968,8.040590843,0.750333333,0.966,0.776742581,3.485,6,5,17,1.770781765,35.11273917,2.729012971
Isopora palifera,7,1.020072806,0.288076431,0.004168161,0.153580178,8.730683596,0.721666667,1.137166667,0.634618203,2.865,6,5,17,1.759619277,35.26055,2.718001585
Isopora palifera,8,0.88530261,0.207517723,0.075596571,0.149218372,29.04941453,0.89,0.804,1.106965174,3.019,6,5,17,1.95830242,27.64628144,2.70656776
Isopora palifera,9,4.146794286,2.073752547,0.204699393,0.638707725,33.63060834,0.762,1.172333333,0.649985783,1.159,6,4,16,1.582285585,43.28943988,2.790107489
Isopora palifera,10,1.680253299,0.693223795,0.38109956,0.470104956,48.09845303,0.699666667,1.3955,0.501373462,3.16,5,5,15,1.922613825,31.06051485,2.788842737
Montipora digitata,1,7.217369949,3.925620195,4.54524648,0.430566571,48.64023693,0.847166667,0.356166667,2.378568086,0.771,6,6,18,1.276618754,52.91883903,2.71152777
Montipora digitata,2,3.185472814,1.923917486,2.495402532,1.683017319,18.16825258,0.757833333,0.455,1.665567766,2.204,6,6,18,1.400473938,50.29736227,2.817705463
Montipora digitata,3,6.414167144,2.355002837,2.486493883,2.470589942,110.0580244,0.507333333,0.453333333,1.119117647,0.81,6,3,15,1.338661063,51.9136757,2.783870639
Montipora digitata,4,5.838771085,2.074315464,2.188369764,1.987835518,54.36333882,0.702,0.563,1.246891652,1.045,6,4,16,1.364026341,51.11049846,2.790018917
Montipora digitata,5,2.286658762,1.598030383,1.859533408,1.266811432,25.59586446,0.5435,0.475333333,1.143408135,0.993,6,5,17,1.406685756,49.10616926,2.763961241
Montipora digitata,6,6.905783789,2.402461743,1.82660906,2.289364573,32.46675405,0.707,0.3865,1.82923674,0.822,6,4,16,1.384454087,50.82833452,2.815552561
Montipora digitata,7,3.944324889,3.218796539,3.025035776,2.453469166,38.14211122,0.613166667,0.582166667,1.053249356,1,6,4,16,1.293135158,53.8309502,2.800870201
Montipora digitata,8,5.078092025,5.124134751,5.132920873,4.118011986,25.73697653,0.538166667,0.439166667,1.225426945,1.587,6,7,19,1.148651679,56.57607103,2.645204397
Montipora digitata,9,7.824352919,2.689370321,3.080527029,3.005647003,16.70766137,0.737166667,0.500666667,1.472370173,1.544,6,4,16,1.25552897,54.9911314,2.78951462
Montipora digitata,10,3.921925044,1.486017773,1.421965317,1.260542289,19.87031891,0.450333333,0.492,0.915311653,0.944,6,3,15,1.305079219,52.83055336,2.766789336
Porites cf. mayeri,1,25.58066782,12.72415335,4.03425237,6.02729418,29.27789257,0.807,0.503166667,1.603842332,2.711,8,4,20,1.471582726,44.88380734,2.669964406
Porites cf. mayeri,2,17.27853537,4.208817457,0.161386458,2.733003466,37.94154411,0.721666667,0.358166667,2.014890647,1.929,8,4,20,1.365349839,49.08169099,2.681451654
Porites cf. mayeri,3,56.63160163,16.99600879,0,6.56461327,40.54326452,0.604166667,0.299166667,2.019498607,2.357,9,3,21,1.440630414,45.64190937,2.650259414
Porites cf. mayeri,4,33.70446679,8.503384596,0,3.050935731,27.03321701,0.690333333,0.3325,2.076190476,2.149,6,6,18,1.510134478,41.05336566,2.561867179
Porites cf. mayeri,5,47.74180637,12.51333808,0,5.319066268,46.26965439,0.529166667,0.310333333,1.705155747,3.079,9,10,28,1.424650241,46.87855708,2.681874141
Porites cf. mayeri,6,45.65504489,10.63337802,0.735803782,5.924260696,63.28555627,0.697166667,0.383333333,1.818695652,2.59,8,4,20,1.45196626,44.8959501,2.634953805
Porites cf. mayeri,7,33.04024653,4.405253132,0,0.227489851,31.68825827,0.641666667,0.478833333,1.340062652,2.729,7,5,19,1.455038254,45.82844795,2.685982216
Porites cf. mayeri,8,74.63149988,20.72159773,0,8.039029956,56.54307159,0.752833333,0.3425,2.198053528,3.23,9,10,28,1.331590321,50.36219872,2.682613425
Porites cf. mayeri,9,31.20167065,8.731921019,1.176829954,4.707657196,52.2358977,0.647333333,0.344666667,1.878143133,2.006,8,4,20,1.406569316,47.52225312,2.680315752
Porites cf. mayeri,10,17.51510817,8.283955692,7.150556268,6.576164006,21.14931426,0.646833333,0.3205,2.018200728,3.562,8,9,25,1.454033964,44.80632593,2.634421406
